,id,name,cost,position,home_team,away_team,kickoff_time,is_home,team_x
0,1,Fábio Ferreira Vieira,54,MID,Newcastle,Arsenal,2024-11-02T12:30:00Z,False,Arsenal
1,2,Gabriel Fernando de Jesus,68,FWD,Newcastle,Arsenal,2024-11-02T12:30:00Z,False,Arsenal
2,3,Gabriel dos Santos Magalhães,63,DEF,Newcastle,Arsenal,2024-11-02T12:30:00Z,False,Arsenal
3,4,Kai Havertz,82,FWD,Newcastle,Arsenal,2024-11-02T12:30:00Z,False,Arsenal
4,5,Karl Hein,40,GKP,Newcastle,Arsenal,2024-11-02T12:30:00Z,False,Arsenal
5,6,Jurriën Timber,55,DEF,Newcastle,Arsenal,2024-11-02T12:30:00Z,False,Arsenal
6,7,Jorge Luiz Frello Filho,48,MID,Newcastle,Arsenal,2024-11-02T12:30:00Z,False,Arsenal
7,8,Jakub Kiwior,48,DEF,Newcastle,Arsenal,2024-11-02T12:30:00Z,False,Arsenal
8,9,Gabriel Martinelli Silva,70,MID,Newcastle,Arsenal,2024-11-02T12:30:00Z,False,Arsenal
9,12,Ethan Nwaneri,45,MID,Newcastle,Arsenal,2024-11-02T12:30:00Z,False,Arsenal
10,13,Martin Ødegaard,82,MID,Newcastle,Arsenal,2024-11-02T12:30:00Z,False,Arsenal
11,15,David Raya Martin,56,GKP,Newcastle,Arsenal,2024-11-02T12:30:00Z,False,Arsenal
12,16,Declan Rice,63,MID,Newcastle,Arsenal,2024-11-02T12:30:00Z,False,Arsenal
13,17,Bukayo Saka,100,MID,Newcastle,Arsenal,2024-11-02T12:30:00Z,False,Arsenal
14,18,William Saliba,60,DEF,Newcastle,Arsenal,2024-11-02T12:30:00Z,False,Arsenal
15,20,Thomas Partey,50,MID,Newcastle,Arsenal,2024-11-02T12:30:00Z,False,Arsenal
16,21,Kieran Tierney,43,DEF,Newcastle,Arsenal,2024-11-02T12:30:00Z,False,Arsenal
17,22,Tomiyasu Takehiro,48,DEF,Newcastle,Arsenal,2024-11-02T12:30:00Z,False,Arsenal
18,23,Leandro Trossard,69,MID,Newcastle,Arsenal,2024-11-02T12:30:00Z,False,Arsenal
19,24,Benjamin White,63,DEF,Newcastle,Arsenal,2024-11-02T12:30:00Z,False,Arsenal
20,25,Oleksandr Zinchenko,48,DEF,Newcastle,Arsenal,2024-11-02T12:30:00Z,False,Arsenal
21,73,Norberto Murara Neto,43,GKP,Newcastle,Arsenal,2024-11-02T12:30:00Z,False,Arsenal
22,186,Raheem Sterling,67,MID,Newcastle,Arsenal,2024-11-02T12:30:00Z,False,Arsenal
23,578,Riccardo Calafiori,58,DEF,Newcastle,Arsenal,2024-11-02T12:30:00Z,False,Arsenal
24,597,Myles Lewis-Skelly,45,MID,Newcastle,Arsenal,2024-11-02T12:30:00Z,False,Arsenal
25,633,Mikel Merino,60,MID,Newcastle,Arsenal,2024-11-02T12:30:00Z,False,Arsenal
26,638,Salah-Eddine Oulad M'hand,45,MID,Newcastle,Arsenal,2024-11-02T12:30:00Z,False,Arsenal
27,639,Tommy Setford,45,GKP,Newcastle,Arsenal,2024-11-02T12:30:00Z,False,Arsenal
28,657,Maldini Kacurri,40,DEF,Newcastle,Arsenal,2024-11-02T12:30:00Z,False,Arsenal
29,658,Ayden Heaven,40,DEF,Newcastle,Arsenal,2024-11-02T12:30:00Z,False,Arsenal
30,659,Ismeal Kabia,45,MID,Newcastle,Arsenal,2024-11-02T12:30:00Z,False,Arsenal
31,662,Josh Nichols,40,DEF,Newcastle,Arsenal,2024-11-02T12:30:00Z,False,Arsenal
32,665,Nathan Butler-Oyedeji,45,FWD,Newcastle,Arsenal,2024-11-02T12:30:00Z,False,Arsenal
33,28,Leon Bailey,63,MID,Spurs,Aston Villa,2024-11-03T14:00:00Z,False,Aston Villa
34,29,Ross Barkley,52,MID,Spurs,Aston Villa,2024-11-03T14:00:00Z,False,Aston Villa
35,30,Enzo Barrenechea,49,MID,Spurs,Aston Villa,2024-11-03T14:00:00Z,False,Aston Villa
36,31,Emiliano Buendía Stati,53,MID,Spurs,Aston Villa,2024-11-03T14:00:00Z,False,Aston Villa
37,32,Matty Cash,44,DEF,Spurs,Aston Villa,2024-11-03T14:00:00Z,False,Aston Villa
38,33,Leander Dendoncker,45,MID,Spurs,Aston Villa,2024-11-03T14:00:00Z,False,Aston Villa
39,34,Moussa Diaby,65,MID,Spurs,Aston Villa,2024-11-03T14:00:00Z,False,Aston Villa
40,35,Diego Carlos Santos Silva,45,DEF,Spurs,Aston Villa,2024-11-03T14:00:00Z,False,Aston Villa
41,36,Lucas Digne,47,DEF,Spurs,Aston Villa,2024-11-03T14:00:00Z,False,Aston Villa
42,37,Lewis Dobbin,50,MID,Spurs,Aston Villa,2024-11-03T14:00:00Z,False,Aston Villa
