index,name,team,minutes
Josh Nichols2024-11-02T12:30:00Z,Josh Nichols,Arsenal,0
Issa Kaboré2024-11-02T15:00:00Z,Issa Kaboré,Man City,0
Rico Lewis2024-11-02T15:00:00Z,Rico Lewis,Man City,1
Rúben Gato Alves Dias2024-11-02T15:00:00Z,Rúben Gato Alves Dias,Man City,1
Nathan Aké2024-11-02T15:00:00Z,Nathan Aké,Man City,0
Manuel Akanji2024-11-02T15:00:00Z,Manuel Akanji,Man City,1
Kyle Walker2024-11-02T15:00:00Z,Kyle Walker,Man City,1
Joško Gvardiol2024-11-02T15:00:00Z,Joško Gvardiol,Man City,1
João Cavaco Cancelo2024-11-02T15:00:00Z,João Cavaco Cancelo,Man City,0
John Stones2024-11-02T15:00:00Z,John Stones,Man City,1
Jayden Meghoma2024-11-04T20:00:00Z,Jayden Meghoma,Brentford,0
Ben Chilwell2024-11-03T16:30:00Z,Ben Chilwell,Chelsea,0
Benoît Badiashile2024-11-03T16:30:00Z,Benoît Badiashile,Chelsea,1
Levi Colwill2024-11-03T16:30:00Z,Levi Colwill,Chelsea,1
Caleb Wiley2024-11-03T16:30:00Z,Caleb Wiley,Chelsea,0
Wesley Fofana2024-11-03T16:30:00Z,Wesley Fofana,Chelsea,1
Axel Disasi2024-11-03T16:30:00Z,Axel Disasi,Chelsea,0
Reece James2024-11-03T16:30:00Z,Reece James,Chelsea,1
Tosin Adarabioyo2024-11-03T16:30:00Z,Tosin Adarabioyo,Chelsea,0
Marc Cucurella Saseta2024-11-03T16:30:00Z,Marc Cucurella Saseta,Chelsea,1
Malo Gusto2024-11-03T16:30:00Z,Malo Gusto,Chelsea,1
Alfie Gilchrist2024-11-03T16:30:00Z,Alfie Gilchrist,Chelsea,0
Malang Sarr2024-11-03T16:30:00Z,Malang Sarr,Chelsea,0
Radu Drăgușin2024-11-03T14:00:00Z,Radu Drăgușin,Spurs,0
Kim Ji-soo2024-11-04T20:00:00Z,Kim Ji-soo,Brentford,0
Destiny Udogie2024-11-03T14:00:00Z,Destiny Udogie,Spurs,1
Cristian Romero2024-11-03T14:00:00Z,Cristian Romero,Spurs,1
Kristoffer Ajer2024-11-04T20:00:00Z,Kristoffer Ajer,Brentford,1
Maldini Kacurri2024-11-02T12:30:00Z,Maldini Kacurri,Arsenal,0
Mathias Jorgensen2024-11-04T20:00:00Z,Mathias Jorgensen,Brentford,0
Djed Spence2024-11-03T14:00:00Z,Djed Spence,Spurs,0
Micky van de Ven2024-11-03T14:00:00Z,Micky van de Ven,Spurs,1
Imari Samuels2024-11-02T15:00:00Z,Imari Samuels,Brighton,0
Ethan Pinnock2024-11-04T20:00:00Z,Ethan Pinnock,Brentford,1
Emerson Leite de Souza Junior2024-11-03T14:00:00Z,Emerson Leite de Souza Junior,Spurs,0
Nathan Collins2024-11-04T20:00:00Z,Nathan Collins,Brentford,1
Pedro Porro2024-11-03T14:00:00Z,Pedro Porro,Spurs,1
Mads Roerslev Rasmussen2024-11-04T20:00:00Z,Mads Roerslev Rasmussen,Brentford,1
Ashley Phillips2024-11-03T14:00:00Z,Ashley Phillips,Spurs,0
Ayden Heaven2024-11-02T12:30:00Z,Ayden Heaven,Arsenal,0
Ben Davies2024-11-03T14:00:00Z,Ben Davies,Spurs,0
Sepp van den Berg2024-11-04T20:00:00Z,Sepp van den Berg,Brentford,1
Sergio Reguilón2024-11-03T14:00:00Z,Sergio Reguilón,Spurs,0
Ben Mee2024-11-04T20:00:00Z,Ben Mee,Brentford,0
Sil Swinkels2024-11-03T14:00:00Z,Sil Swinkels,Aston Villa,0
Rico Henry2024-11-04T20:00:00Z,Rico Henry,Brentford,0
Aaron Hickey2024-11-04T20:00:00Z,Aaron Hickey,Brentford,0
Ibrahima Konaté2024-11-02T15:00:00Z,Ibrahima Konaté,Liverpool,1
Tomiyasu Takehiro2024-11-02T12:30:00Z,Tomiyasu Takehiro,Arsenal,0
Jurriën Timber2024-11-02T12:30:00Z,Jurriën Timber,Arsenal,1
Gabriel dos Santos Magalhães2024-11-02T12:30:00Z,Gabriel dos Santos Magalhães,Arsenal,1
Benjamin White2024-11-02T12:30:00Z,Benjamin White,Arsenal,1
Virgil van Dijk2024-11-02T15:00:00Z,Virgil van Dijk,Liverpool,1
Andrew Robertson2024-11-02T15:00:00Z,Andrew Robertson,Liverpool,1
Joe Gomez2024-11-02T15:00:00Z,Joe Gomez,Liverpool,1
Trent Alexander-Arnold2024-11-02T15:00:00Z,Trent Alexander-Arnold,Liverpool,1
William Saliba2024-11-02T12:30:00Z,William Saliba,Arsenal,1
Rhys Williams2024-11-02T15:00:00Z,Rhys Williams,Liverpool,0
Oleksandr Zinchenko2024-11-02T12:30:00Z,Oleksandr Zinchenko,Arsenal,0
Jakub Kiwior2024-11-02T12:30:00Z,Jakub Kiwior,Arsenal,1
Konstantinos Tsimikas2024-11-02T15:00:00Z,Konstantinos Tsimikas,Liverpool,1
Jarell Quansah2024-11-02T15:00:00Z,Jarell Quansah,Liverpool,0
Kieran Tierney2024-11-02T12:30:00Z,Kieran Tierney,Arsenal,0
Conor Bradley2024-11-02T15:00:00Z,Conor Bradley,Liverpool,0
Riccardo Calafiori2024-11-02T12:30:00Z,Riccardo Calafiori,Arsenal,1
Nathaniel Phillips2024-11-02T15:00:00Z,Nathaniel Phillips,Liverpool,0
Lucas Digne2024-11-03T14:00:00Z,Lucas Digne,Aston Villa,1
Jan Paul van Hecke2024-11-02T15:00:00Z,Jan Paul van Hecke,Brighton,1
Adam Webster2024-11-02T15:00:00Z,Adam Webster,Brighton,0
Lamare Bogarde2024-11-03T14:00:00Z,Lamare Bogarde,Aston Villa,0
Igor Julio dos Santos de Paulo2024-11-02T15:00:00Z,Igor Julio dos Santos de Paulo,Brighton,1
Joël Veltman2024-11-02T15:00:00Z,Joël Veltman,Brighton,1
Lino da Cruz Sousa2024-11-03T14:00:00Z,Lino da Cruz Sousa,Aston Villa,0
Kosta Nedeljković2024-11-03T14:00:00Z,Kosta Nedeljković,Aston Villa,0
Lewis Dunk2024-11-02T15:00:00Z,Lewis Dunk,Brighton,1
Ian Maatsen2024-11-03T14:00:00Z,Ian Maatsen,Aston Villa,1
Kortney Hause2024-11-03T14:00:00Z,Kortney Hause,Aston Villa,0
Kaine Kesler-Hayden2024-11-03T14:00:00Z,Kaine Kesler-Hayden,Aston Villa,0
Tariq Lamptey2024-11-02T15:00:00Z,Tariq Lamptey,Brighton,1
Diego Carlos Santos Silva2024-11-03T14:00:00Z,Diego Carlos Santos Silva,Aston Villa,1
Odeluga Offiah2024-11-02T15:00:00Z,Odeluga Offiah,Brighton,0
Pau Torres2024-11-03T14:00:00Z,Pau Torres,Aston Villa,1
Pervis Estupiñán2024-11-02T15:00:00Z,Pervis Estupiñán,Brighton,1
Matty Cash2024-11-03T14:00:00Z,Matty Cash,Aston Villa,1
Ezri Konsa Ngoyo2024-11-03T14:00:00Z,Ezri Konsa Ngoyo,Aston Villa,1
Valentín Barco2024-11-02T15:00:00Z,Valentín Barco,Brighton,0
Tyrone Mings2024-11-03T14:00:00Z,Tyrone Mings,Aston Villa,0
Alfie Pond2024-11-02T17:30:00Z,Alfie Pond,Wolves,0
Ferdi Kadioglu2024-11-02T15:00:00Z,Ferdi Kadioglu,Brighton,1
Victor Kristiansen2024-11-02T15:00:00Z,Victor Kristiansen,Leicester,1
Vladimír Coufal2024-11-02T15:00:00Z,Vladimír Coufal,West Ham,0
Luke Thomas2024-11-02T15:00:00Z,Luke Thomas,Leicester,0
Konstantinos Mavropanos2024-11-02T15:00:00Z,Konstantinos Mavropanos,West Ham,1
Max Kilman2024-11-02T15:00:00Z,Max Kilman,West Ham,1
Wout Faes2024-11-02T15:00:00Z,Wout Faes,Leicester,1
Ricardo Barbosa Pereira2024-11-02T15:00:00Z,Ricardo Barbosa Pereira,Leicester,1
Nayef Aguerd2024-11-02T15:00:00Z,Nayef Aguerd,West Ham,0
Kurt Zouma2024-11-02T15:00:00Z,Kurt Zouma,West Ham,0
Aaron Cresswell2024-11-02T15:00:00Z,Aaron Cresswell,West Ham,0
Harry Souttar2024-11-02T15:00:00Z,Harry Souttar,Leicester,0
Jean-Clair Todibo2024-11-02T15:00:00Z,Jean-Clair Todibo,West Ham,1
Caleb Okoli2024-11-02T15:00:00Z,Caleb Okoli,Leicester,1
Joachim Andersen2024-11-04T20:00:00Z,Joachim Andersen,Fulham,1
Conor Coady2024-11-02T15:00:00Z,Conor Coady,Leicester,0
Jannik Vestergaard2024-11-02T15:00:00Z,Jannik Vestergaard,Leicester,0
James Justin2024-11-02T15:00:00Z,James Justin,Leicester,1
Emerson Palmieri dos Santos2024-11-02T15:00:00Z,Emerson Palmieri dos Santos,West Ham,1
Aaron Wan-Bissaka2024-11-02T15:00:00Z,Aaron Wan-Bissaka,West Ham,1
Ben Nelson2024-11-02T15:00:00Z,Ben Nelson,Leicester,0
Kaelan Casey2024-11-02T15:00:00Z,Kaelan Casey,West Ham,0
Bastien Meupiyou2024-11-02T17:30:00Z,Bastien Meupiyou,Wolves,0
Calvin Bassey2024-11-04T20:00:00Z,Calvin Bassey,Fulham,1
Ryan Sessegnon2024-11-04T20:00:00Z,Ryan Sessegnon,Fulham,0
Hugo Bueno López2024-11-02T17:30:00Z,Hugo Bueno López,Wolves,0
Santiago Bueno2024-11-02T17:30:00Z,Santiago Bueno,Wolves,1
Nélson Cabral Semedo2024-11-02T17:30:00Z,Nélson Cabral Semedo,Wolves,1
