index,name,team,points,value
Erling Haaland2024-11-02T15:00:00Z,Erling Haaland,Man City,5.904989812827383,154
Julián Álvarez2024-11-02T15:00:00Z,Julián Álvarez,Man City,0.2346554706476929,70
Romelu Lukaku Bolingoli2024-11-03T16:30:00Z,Romelu Lukaku Bolingoli,Chelsea,0.11583856972378158,63
David Datro Fofana2024-11-03T16:30:00Z,David Datro Fofana,Chelsea,0.08377449028999875,54
Nicolas Jackson2024-11-03T16:30:00Z,Nicolas Jackson,Chelsea,4.014294127224911,79
Deivid Washington de Souza Eugênio2024-11-03T16:30:00Z,Deivid Washington de Souza Eugênio,Chelsea,0.04861101857370283,50
Marc Guiu Paz2024-11-03T16:30:00Z,Marc Guiu Paz,Chelsea,0.06619092747559728,48
Dane Scarlett2024-11-03T14:00:00Z,Dane Scarlett,Spurs,0.04045155396745186,45
Alejo Véliz2024-11-03T14:00:00Z,Alejo Véliz,Spurs,0.06675635611581138,50
Will Lankshear2024-11-03T14:00:00Z,Will Lankshear,Spurs,0.04349988249802503,45
Igor Thiago Nascimento Rodrigues2024-11-04T20:00:00Z,Igor Thiago Nascimento Rodrigues,Brentford,0.1490766553429509,59
Dominic Solanke-Mitchell2024-11-03T14:00:00Z,Dominic Solanke-Mitchell,Spurs,3.0474571995918023,77
Ivan Toney2024-11-04T20:00:00Z,Ivan Toney,Brentford,0.21946833104672792,73
Yoane Wissa2024-11-04T20:00:00Z,Yoane Wissa,Brentford,2.7216304520419796,59
Richarlison de Andrade2024-11-03T14:00:00Z,Richarlison de Andrade,Spurs,1.3431078335808357,68
Gabriel Fernando de Jesus2024-11-02T12:30:00Z,Gabriel Fernando de Jesus,Arsenal,1.7484702707963087,68
Kai Havertz2024-11-02T12:30:00Z,Kai Havertz,Arsenal,4.155948315852628,82
Darwin Núñez Ribeiro2024-11-02T15:00:00Z,Darwin Núñez Ribeiro,Liverpool,2.033908668036215,71
Cody Gakpo2024-11-02T15:00:00Z,Cody Gakpo,Liverpool,2.558344973899957,71
Jhon Durán2024-11-03T14:00:00Z,Jhon Durán,Aston Villa,1.7141487534674018,62
João Pedro Junqueira de Jesus2024-11-02T15:00:00Z,João Pedro Junqueira de Jesus,Brighton,0.4061584032590173,54
Deniz Undav2024-11-02T15:00:00Z,Deniz Undav,Brighton,0.08042595950391698,55
Danny Welbeck2024-11-02T15:00:00Z,Danny Welbeck,Brighton,2.817451303022462,59
Ollie Watkins2024-11-03T14:00:00Z,Ollie Watkins,Aston Villa,5.960358327521938,91
Armando Broja2024-11-02T15:00:00Z,Armando Broja,Everton,0.15110118096219893,54
Evan Ferguson2024-11-02T15:00:00Z,Evan Ferguson,Brighton,1.1543666372043548,55
Mark O’Mahony2024-11-02T15:00:00Z,Mark O’Mahony,Brighton,0.0207804153597463,45
Nathan Butler-Oyedeji2024-11-02T12:30:00Z,Nathan Butler-Oyedeji,Arsenal,0.054005065226476585,45
Tom Cannon2024-11-02T15:00:00Z,Tom Cannon,Leicester,0.04659791117499702,45
Michail Antonio2024-11-02T15:00:00Z,Michail Antonio,West Ham,2.36771427342902,54
Niclas Füllkrug2024-11-02T15:00:00Z,Niclas Füllkrug,West Ham,0.2956900301752041,67
Patson Daka2024-11-02T15:00:00Z,Patson Daka,Leicester,0.08888375644996567,48
Danny Ings2024-11-02T15:00:00Z,Danny Ings,West Ham,1.0957335691722379,50
Jamie Vardy2024-11-02T15:00:00Z,Jamie Vardy,Leicester,3.2799272185422983,57
Saša Kalajdžić2024-11-02T17:30:00Z,Saša Kalajdžić,Wolves,0.08591678587574052,48
Rodrigo Muniz Carvalho2024-11-04T20:00:00Z,Rodrigo Muniz Carvalho,Fulham,1.3839485441499395,57
Carlos Vinícius Alves Morais2024-11-04T20:00:00Z,Carlos Vinícius Alves Morais,Fulham,0.10093102002108825,50
Nathan Fraser2024-11-02T17:30:00Z,Nathan Fraser,Wolves,0.053887180904182416,45
Odsonne Edouard2024-11-02T15:00:00Z,Odsonne Edouard,Leicester,1.0524546903210867,53
Fábio Silva2024-11-02T17:30:00Z,Fábio Silva,Wolves,0.07764133413773365,50
Matheus Santos Carneiro Da Cunha2024-11-02T17:30:00Z,Matheus Santos Carneiro Da Cunha,Wolves,4.040392818379012,65
Raúl Jiménez2024-11-04T20:00:00Z,Raúl Jiménez,Fulham,3.6921237871682107,57
Leon Chiwome2024-11-02T17:30:00Z,Leon Chiwome,Wolves,0.05534322453589797,45
Jay Stansfield2024-11-04T20:00:00Z,Jay Stansfield,Fulham,0.09691508040123271,50
Jørgen Strand Larsen2024-11-02T17:30:00Z,Jørgen Strand Larsen,Wolves,3.692593601435402,55
Francisco Evanilson de Lima Barbosa2024-11-02T15:00:00Z,Francisco Evanilson de Lima Barbosa,Bournemouth,2.309203335628073,59
Enes Ünal2024-11-02T15:00:00Z,Enes Ünal,Bournemouth,1.3293905387116096,54
Daniel Jebbison2024-11-02T15:00:00Z,Daniel Jebbison,Bournemouth,0.13071285924070816,45
Emmanuel Dennis2024-11-02T15:00:00Z,Emmanuel Dennis,Nott'm Forest,0.06875198692701492,49
Hwang Ui-jo2024-11-02T15:00:00Z,Hwang Ui-jo,Nott'm Forest,0.028508808612193664,45
Taiwo Awoniyi2024-11-02T15:00:00Z,Taiwo Awoniyi,Nott'm Forest,1.0468770398270353,56
Chris Wood2024-11-02T15:00:00Z,Chris Wood,Nott'm Forest,5.085697118279904,64
Norberto Bercique Gomes Betuncal2024-11-02T15:00:00Z,Norberto Bercique Gomes Betuncal,Everton,1.4142365640234131,50
Youssef Ramalho Chermiti2024-11-02T15:00:00Z,Youssef Ramalho Chermiti,Everton,0.08903586931838295,49
Dominic Calvert-Lewin2024-11-02T15:00:00Z,Dominic Calvert-Lewin,Everton,3.2326329511248586,60
Neal Maupay2024-11-02T15:00:00Z,Neal Maupay,Everton,0.11195066615084362,49
Iliman Ndiaye2024-11-02T15:00:00Z,Iliman Ndiaye,Everton,3.2413532579288877,54
Liam Delap2024-11-02T15:00:00Z,Liam Delap,Ipswich,3.1503058371436348,57
Callum Wilson2024-11-02T12:30:00Z,Callum Wilson,Newcastle,0.16089107577064127,69
William Osula2024-11-02T12:30:00Z,William Osula,Newcastle,0.39534036753065815,50
Alexander Isak2024-11-02T12:30:00Z,Alexander Isak,Newcastle,2.4103885224860333,83
Ali Al-Hamadi2024-11-02T15:00:00Z,Ali Al-Hamadi,Ipswich,0.14499405494431908,49
Eddie Nketiah2024-11-02T17:30:00Z,Eddie Nketiah,Crystal Palace,2.607138318467916,59
George Hirst2024-11-02T15:00:00Z,George Hirst,Ipswich,3.273398022268804,54
Freddie Ladapo2024-11-02T15:00:00Z,Freddie Ladapo,Ipswich,0.04435439102843896,45
Joshua Zirkzee2024-11-03T16:30:00Z,Joshua Zirkzee,Man Utd,1.6445706086915675,67
Rasmus Højlund2024-11-03T16:30:00Z,Rasmus Højlund,Man Utd,2.1565795107862638,69
Ethan Wheatley2024-11-03T16:30:00Z,Ethan Wheatley,Man Utd,0.02912244034348775,45
Adam Armstrong2024-11-02T15:00:00Z,Adam Armstrong,Southampton,1.073409253833928,52
Jean-Philippe Mateta2024-11-02T17:30:00Z,Jean-Philippe Mateta,Crystal Palace,2.8906302970328293,73
Cameron Archer2024-11-02T15:00:00Z,Cameron Archer,Southampton,2.5887248022667877,50
Ross Stewart2024-11-02T15:00:00Z,Ross Stewart,Southampton,0.4727492834889474,46
Paul Onuachu2024-11-02T15:00:00Z,Paul Onuachu,Southampton,1.0722471930508786,49
Sékou Mara2024-11-02T15:00:00Z,Sékou Mara,Southampton,0.06981257445155986,50
