index,name,team,minutes
Richarlison de Andrade2024-11-10T14:00:00Z,Richarlison de Andrade,Spurs,1
Dominic Solanke-Mitchell2024-11-10T14:00:00Z,Dominic Solanke-Mitchell,Spurs,1
Dane Scarlett2024-11-10T14:00:00Z,Dane Scarlett,Spurs,0
Will Lankshear2024-11-10T14:00:00Z,Will Lankshear,Spurs,0
Alejo Véliz2024-11-10T14:00:00Z,Alejo Véliz,Spurs,0
Julián Álvarez2024-11-09T17:30:00Z,Julián Álvarez,Man City,0
Erling Haaland2024-11-09T17:30:00Z,Erling Haaland,Man City,1
David Datro Fofana2024-11-10T16:30:00Z,David Datro Fofana,Chelsea,0
Deivid Washington de Souza Eugênio2024-11-10T16:30:00Z,Deivid Washington de Souza Eugênio,Chelsea,0
Marc Guiu Paz2024-11-10T16:30:00Z,Marc Guiu Paz,Chelsea,0
Nicolas Jackson2024-11-10T16:30:00Z,Nicolas Jackson,Chelsea,1
Romelu Lukaku Bolingoli2024-11-10T16:30:00Z,Romelu Lukaku Bolingoli,Chelsea,0
Igor Thiago Nascimento Rodrigues2024-11-09T15:00:00Z,Igor Thiago Nascimento Rodrigues,Brentford,0
Ivan Toney2024-11-09T15:00:00Z,Ivan Toney,Brentford,0
Darwin Núñez Ribeiro2024-11-09T20:00:00Z,Darwin Núñez Ribeiro,Liverpool,1
Cody Gakpo2024-11-09T20:00:00Z,Cody Gakpo,Liverpool,1
Yoane Wissa2024-11-09T15:00:00Z,Yoane Wissa,Brentford,1
Jhon Durán2024-11-09T20:00:00Z,Jhon Durán,Aston Villa,1
Ollie Watkins2024-11-09T20:00:00Z,Ollie Watkins,Aston Villa,1
Danny Welbeck2024-11-09T17:30:00Z,Danny Welbeck,Brighton,1
Mark O’Mahony2024-11-09T17:30:00Z,Mark O’Mahony,Brighton,0
Deniz Undav2024-11-09T17:30:00Z,Deniz Undav,Brighton,0
Kai Havertz2024-11-10T16:30:00Z,Kai Havertz,Arsenal,1
