index,name,team,points,value
André Onana2024-11-10T14:00:00Z,André Onana,Man Utd,3.660958674,50
Guglielmo Vicario2024-11-10T14:00:00Z,Guglielmo Vicario,Spurs,3.495669423,50
Matz Sels2024-11-10T14:00:00Z,Matz Sels,Nott'm Forest,3.430683242,46
Dean Henderson2024-11-09T15:00:00Z,Dean Henderson,Crystal Palace,3.404232862,44
Jordan Pickford2024-11-09T15:00:00Z,Jordan Pickford,Everton,3.277594586,49
José Malheiro de Sá2024-11-09T15:00:00Z,José Malheiro de Sá,Wolves,3.260915152,43
Mark Flekken2024-11-09T15:00:00Z,Mark Flekken,Brentford,3.236038459,45
Bernd Leno2024-11-09T15:00:00Z,Bernd Leno,Fulham,3.12742576,50
Aaron Ramsdale2024-11-09T15:00:00Z,Aaron Ramsdale,Southampton,3.115452747,44
Nick Pope2024-11-10T14:00:00Z,Nick Pope,Newcastle,3.085749822,50
Caoimhin Kelleher2024-11-09T20:00:00Z,Caoimhin Kelleher,Liverpool,2.806876817,44
Emiliano Martínez Romero2024-11-09T20:00:00Z,Emiliano Martínez Romero,Aston Villa,2.788189533,50
Robert Sánchez2024-11-10T16:30:00Z,Robert Sánchez,Chelsea,2.755289495,47
Bart Verbruggen2024-11-09T17:30:00Z,Bart Verbruggen,Brighton,2.720602786,45
Ederson Santana de Moraes2024-11-09T17:30:00Z,Ederson Santana de Moraes,Man City,2.574328414,55
David Raya Martin2024-11-10T16:30:00Z,David Raya Martin,Arsenal,2.441250614,56
Mads Hermansen2024-11-10T14:00:00Z,Mads Hermansen,Leicester,2.395936759,45
Arijanet Muric2024-11-10T14:00:00Z,Arijanet Muric,Ipswich,2.030449841,44
Mark Travers2024-11-09T15:00:00Z,Mark Travers,Bournemouth,1.970275693,44
Łukasz Fabiański2024-11-09T15:00:00Z,Łukasz Fabiański,West Ham,1.510807017,40
Alphonse Areola2024-11-09T15:00:00Z,Alphonse Areola,West Ham,1.457396844,44
Kepa Arrizabalaga2024-11-09T15:00:00Z,Kepa Arrizabalaga,Bournemouth,1.2055215,45
Alisson Ramses Becker2024-11-09T20:00:00Z,Alisson Ramses Becker,Liverpool,0.533148261,54
Vítezslav Jaros2024-11-09T20:00:00Z,Vítezslav Jaros,Liverpool,0.467092514,40
Sam Johnstone2024-11-09T15:00:00Z,Sam Johnstone,Wolves,0.322436439,44
Jason Steele2024-11-09T17:30:00Z,Jason Steele,Brighton,0.312262002,43
Norberto Murara Neto2024-11-10T16:30:00Z,Norberto Murara Neto,Arsenal,0.265234447,43
Alex McCarthy2024-11-09T15:00:00Z,Alex McCarthy,Southampton,0.238544721,44
Wes Foderingham2024-11-09T15:00:00Z,Wes Foderingham,West Ham,0.132899207,44
Christian Walton2024-11-10T14:00:00Z,Christian Walton,Ipswich,0.125132492,44
Stefan Ortega Moreno2024-11-09T17:30:00Z,Stefan Ortega Moreno,Man City,0.096729785,53
Đorđe Petrović2024-11-10T16:30:00Z,Đorđe Petrović,Chelsea,0.088290159,44
Matt Turner2024-11-09T15:00:00Z,Matt Turner,Crystal Palace,0.061742906,40
Carlos Miguel dos Santos Pereira2024-11-10T14:00:00Z,Carlos Miguel dos Santos Pereira,Nott'm Forest,0.059965352,43
Odysseas Vlachodimos2024-11-10T14:00:00Z,Odysseas Vlachodimos,Newcastle,0.057757377,43
Fraser Forster2024-11-10T14:00:00Z,Fraser Forster,Spurs,0.053937652,44
Robin Olsen2024-11-09T20:00:00Z,Robin Olsen,Aston Villa,0.053842381,45
Daniel Bentley2024-11-09T15:00:00Z,Daniel Bentley,Wolves,0.052953577,40
Tommy Setford2024-11-10T16:30:00Z,Tommy Setford,Arsenal,0.050370898,45
Martin Dúbravka2024-11-10T14:00:00Z,Martin Dúbravka,Newcastle,0.047087675,43
Altay Bayindir2024-11-10T14:00:00Z,Altay Bayindir,Man Utd,0.046808137,43
Harvey Davies2024-11-09T20:00:00Z,Harvey Davies,Liverpool,0.038031729,40
Filip Jørgensen2024-11-10T16:30:00Z,Filip Jørgensen,Chelsea,0.035625775,42
Steven Benda2024-11-09T15:00:00Z,Steven Benda,Fulham,0.035482596,40
Gavin Bazunu2024-11-09T15:00:00Z,Gavin Bazunu,Southampton,0.033989632,43
Tom King2024-11-09T15:00:00Z,Tom King,Wolves,0.033888795,40
Hákon Valdimarsson2024-11-09T15:00:00Z,Hákon Valdimarsson,Brentford,0.030501434,40
Killian Cahill2024-11-09T17:30:00Z,Killian Cahill,Brighton,0.029568717,40
Brandon Austin2024-11-10T14:00:00Z,Brandon Austin,Spurs,0.029116191,40
Alfie Whiteman2024-11-10T14:00:00Z,Alfie Whiteman,Spurs,0.029116191,40
Daniel Iversen2024-11-10T14:00:00Z,Daniel Iversen,Leicester,0.024604556,40
Danny Ward2024-11-10T14:00:00Z,Danny Ward,Leicester,0.024604556,40
Jakub Stolarczyk2024-11-10T14:00:00Z,Jakub Stolarczyk,Leicester,0.024604556,40
Remi Matthews2024-11-09T15:00:00Z,Remi Matthews,Crystal Palace,0.024070631,40
John Ruddy2024-11-10T14:00:00Z,John Ruddy,Newcastle,0.02299137,40
Karl Hein2024-11-10T16:30:00Z,Karl Hein,Arsenal,0.022496994,40
Carl Rushworth2024-11-09T17:30:00Z,Carl Rushworth,Brighton,0.022264508,40
Tom Heaton2024-11-10T14:00:00Z,Tom Heaton,Man Utd,0.021927809,40
Asmir Begovic2024-11-09T15:00:00Z,Asmir Begovic,Everton,0.021116777,40
Will Dennis2024-11-09T15:00:00Z,Will Dennis,Bournemouth,0.020870875,40
Alex Paulsen2024-11-09T15:00:00Z,Alex Paulsen,Bournemouth,0.020870875,40
Joe Gauci2024-11-09T20:00:00Z,Joe Gauci,Aston Villa,0.01898921,40
Viljami Sinisalo2024-11-09T20:00:00Z,Viljami Sinisalo,Aston Villa,0.01898921,40
Filip Marschall2024-11-09T20:00:00Z,Filip Marschall,Aston Villa,0.01898921,40
Lucas Bergström2024-11-10T16:30:00Z,Lucas Bergström,Chelsea,0.018575222,40
Marcus Bettinelli2024-11-10T16:30:00Z,Marcus Bettinelli,Chelsea,0.018570069,40
João Neves Virgínia2024-11-09T15:00:00Z,João Neves Virgínia,Everton,0.018382042,40
Oliwier Zych2024-11-09T20:00:00Z,Oliwier Zych,Aston Villa,0.016697483,40
Cieran Slicker2024-11-10T14:00:00Z,Cieran Slicker,Ipswich,0.014597953,40
Scott Carson2024-11-09T17:30:00Z,Scott Carson,Man City,0.013183024,40
Mateusz Lis2024-11-09T15:00:00Z,Mateusz Lis,Southampton,0.011621633,40
Joe Lumley2024-11-09T15:00:00Z,Joe Lumley,Southampton,0.011621633,40
