index,name,team,minutes
Tony Yogane2024-11-09T15:00:00Z,Tony Yogane,Brentford,0
João Félix Sequeira2024-11-10T16:30:00Z,João Félix Sequeira,Chelsea,1
Gustavo Nunes Fernandes Gomes2024-11-09T15:00:00Z,Gustavo Nunes Fernandes Gomes,Brentford,0
Ilkay Gündogan2024-11-09T17:30:00Z,Ilkay Gündogan,Man City,1
Giovani Lo Celso2024-11-10T14:00:00Z,Giovani Lo Celso,Spurs,0
Rodrigo Bentancur2024-11-10T14:00:00Z,Rodrigo Bentancur,Spurs,1
Mikey Moore2024-11-10T14:00:00Z,Mikey Moore,Spurs,0
Pape Matar Sarr2024-11-10T14:00:00Z,Pape Matar Sarr,Spurs,1
Lucas Bergvall2024-11-10T14:00:00Z,Lucas Bergvall,Spurs,0
Archie Gray2024-11-10T14:00:00Z,Archie Gray,Spurs,0
Brennan Johnson2024-11-10T14:00:00Z,Brennan Johnson,Spurs,1
Bryan Gil Salvatierra2024-11-10T14:00:00Z,Bryan Gil Salvatierra,Spurs,0
Timo Werner2024-11-10T14:00:00Z,Timo Werner,Spurs,1
Dejan Kulusevski2024-11-10T14:00:00Z,Dejan Kulusevski,Spurs,1
Son Heung-min2024-11-10T14:00:00Z,Son Heung-min,Spurs,1
Manor Solomon2024-11-10T14:00:00Z,Manor Solomon,Spurs,0
James Maddison2024-11-10T14:00:00Z,James Maddison,Spurs,1
Alfie Devine2024-11-10T14:00:00Z,Alfie Devine,Spurs,0
Wilson Odobert2024-11-10T14:00:00Z,Wilson Odobert,Spurs,0
Pierre-Emile Højbjerg2024-11-10T14:00:00Z,Pierre-Emile Højbjerg,Spurs,0
Yves Bissouma2024-11-10T14:00:00Z,Yves Bissouma,Spurs,1
Nico O'Reilly2024-11-09T17:30:00Z,Nico O'Reilly,Man City,0
Rodrigo 'Rodri' Hernandez2024-11-09T17:30:00Z,Rodrigo 'Rodri' Hernandez,Man City,0
Mateo Kovačić2024-11-09T17:30:00Z,Mateo Kovačić,Man City,1
Phil Foden2024-11-09T17:30:00Z,Phil Foden,Man City,1
Jérémy Doku2024-11-09T17:30:00Z,Jérémy Doku,Man City,1
Oscar Bobb2024-11-09T17:30:00Z,Oscar Bobb,Man City,0
Kevin De Bruyne2024-11-09T17:30:00Z,Kevin De Bruyne,Man City,0
Jack Grealish2024-11-09T17:30:00Z,Jack Grealish,Man City,1
Sávio 'Savinho' Moreira de Oliveira2024-11-09T17:30:00Z,Sávio 'Savinho' Moreira de Oliveira,Man City,1
James McAtee2024-11-09T17:30:00Z,James McAtee,Man City,0
Matheus Luiz Nunes2024-11-09T17:30:00Z,Matheus Luiz Nunes,Man City,1
Bernardo Veiga de Carvalho e Silva2024-11-09T17:30:00Z,Bernardo Veiga de Carvalho e Silva,Man City,1
Enzo Fernández2024-11-10T16:30:00Z,Enzo Fernández,Chelsea,1
Omari Kellyman2024-11-10T16:30:00Z,Omari Kellyman,Chelsea,0
Moisés Caicedo Corozo2024-11-10T16:30:00Z,Moisés Caicedo Corozo,Chelsea,1
Kadan Young2024-11-09T20:00:00Z,Kadan Young,Aston Villa,0
Ângelo Gabriel Borges Damaceno2024-11-10T16:30:00Z,Ângelo Gabriel Borges Damaceno,Chelsea,0
Mykhailo Mudryk2024-11-10T16:30:00Z,Mykhailo Mudryk,Chelsea,1
Pedro Lomba Neto2024-11-10T16:30:00Z,Pedro Lomba Neto,Chelsea,1
Conor Gallagher2024-11-10T16:30:00Z,Conor Gallagher,Chelsea,0
Carney Chukwuemeka2024-11-10T16:30:00Z,Carney Chukwuemeka,Chelsea,0
Cole Palmer2024-11-10T16:30:00Z,Cole Palmer,Chelsea,1
Christopher Nkunku2024-11-10T16:30:00Z,Christopher Nkunku,Chelsea,1
Kiernan Dewsbury-Hall2024-11-10T16:30:00Z,Kiernan Dewsbury-Hall,Chelsea,0
Cesare Casadei2024-11-10T16:30:00Z,Cesare Casadei,Chelsea,0
Roméo Lavia2024-11-10T16:30:00Z,Roméo Lavia,Chelsea,1
Noni Madueke2024-11-10T16:30:00Z,Noni Madueke,Chelsea,1
Renato Palma Veiga2024-11-10T16:30:00Z,Renato Palma Veiga,Chelsea,0
Andrey Nascimento dos Santos2024-11-10T16:30:00Z,Andrey Nascimento dos Santos,Chelsea,0
Ismeal Kabia2024-11-10T16:30:00Z,Ismeal Kabia,Arsenal,0
Ryan Gravenberch2024-11-09T20:00:00Z,Ryan Gravenberch,Liverpool,1
Fábio Freitas Gouveia Carvalho2024-11-09T15:00:00Z,Fábio Freitas Gouveia Carvalho,Brentford,1
Endo Wataru2024-11-09T20:00:00Z,Endo Wataru,Liverpool,0
Frank Onyeka2024-11-09T15:00:00Z,Frank Onyeka,Brentford,0
Josh Dasilva2024-11-09T15:00:00Z,Josh Dasilva,Brentford,0
Ethan Brierley2024-11-09T15:00:00Z,Ethan Brierley,Brentford,0
Diogo Teixeira da Silva2024-11-09T20:00:00Z,Diogo Teixeira da Silva,Liverpool,1
Harvey Elliott2024-11-09T20:00:00Z,Harvey Elliott,Liverpool,0
James McConnell2024-11-09T20:00:00Z,James McConnell,Liverpool,0
Dominik Szoboszlai2024-11-09T20:00:00Z,Dominik Szoboszlai,Liverpool,1
Myles Peart-Harris2024-11-09T15:00:00Z,Myles Peart-Harris,Brentford,0
Ryan Trevitt2024-11-09T15:00:00Z,Ryan Trevitt,Brentford,0
Raheem Sterling2024-11-10T16:30:00Z,Raheem Sterling,Arsenal,1
Stefan Bajčetić Maquieira2024-11-09T20:00:00Z,Stefan Bajčetić Maquieira,Liverpool,0
Yehor Yarmoliuk2024-11-09T15:00:00Z,Yehor Yarmoliuk,Brentford,1
Mathias Jensen2024-11-09T15:00:00Z,Mathias Jensen,Brentford,1
Christian Nørgaard2024-11-09T15:00:00Z,Christian Nørgaard,Brentford,1
Tyler Morton2024-11-09T20:00:00Z,Tyler Morton,Liverpool,0
Mikkel Damsgaard2024-11-09T15:00:00Z,Mikkel Damsgaard,Brentford,1
Alexis Mac Allister2024-11-09T20:00:00Z,Alexis Mac Allister,Liverpool,1
Bryan Mbeumo2024-11-09T15:00:00Z,Bryan Mbeumo,Brentford,1
Vitaly Janelt2024-11-09T15:00:00Z,Vitaly Janelt,Brentford,1
Luis Díaz2024-11-09T20:00:00Z,Luis Díaz,Liverpool,1
Mohamed Salah2024-11-09T20:00:00Z,Mohamed Salah,Liverpool,1
Curtis Jones2024-11-09T20:00:00Z,Curtis Jones,Liverpool,1
Kevin Schade2024-11-09T15:00:00Z,Kevin Schade,Brentford,1
Yunus Emre Konak2024-11-09T15:00:00Z,Yunus Emre Konak,Brentford,0
Ben Doak2024-11-09T20:00:00Z,Ben Doak,Liverpool,0
Bobby Clark2024-11-09T20:00:00Z,Bobby Clark,Liverpool,0
Keane Lewis-Potter2024-11-09T15:00:00Z,Keane Lewis-Potter,Brentford,1
Federico Chiesa2024-11-09T20:00:00Z,Federico Chiesa,Liverpool,0
Salah-Eddine Oulad M'hand2024-11-10T16:30:00Z,Salah-Eddine Oulad M'hand,Arsenal,0
Mikel Merino2024-11-10T16:30:00Z,Mikel Merino,Arsenal,1
Jeremy Sarmiento Morante2024-11-09T17:30:00Z,Jeremy Sarmiento Morante,Brighton,0
Ibrahim Osman2024-11-09T17:30:00Z,Ibrahim Osman,Brighton,0
Jakub Moder2024-11-09T17:30:00Z,Jakub Moder,Brighton,0
Youri Tielemans2024-11-09T20:00:00Z,Youri Tielemans,Aston Villa,1
Jaden Philogene2024-11-09T20:00:00Z,Jaden Philogene,Aston Villa,0
Jacob Ramsey2024-11-09T20:00:00Z,Jacob Ramsey,Aston Villa,1
James Milner2024-11-09T17:30:00Z,James Milner,Brighton,0
Jack Hinshelwood2024-11-09T17:30:00Z,Jack Hinshelwood,Brighton,1
Adrian Mazilu2024-11-09T17:30:00Z,Adrian Mazilu,Brighton,0
Yasin Ayari2024-11-09T17:30:00Z,Yasin Ayari,Brighton,1
Yankuba Minteh2024-11-09T17:30:00Z,Yankuba Minteh,Brighton,0
Amadou Onana2024-11-09T20:00:00Z,Amadou Onana,Aston Villa,1
Benicio Baker-Boaitey2024-11-09T17:30:00Z,Benicio Baker-Boaitey,Brighton,0
Mats Wieffer2024-11-09T17:30:00Z,Mats Wieffer,Brighton,1
Andrew Moran2024-11-09T17:30:00Z,Andrew Moran,Brighton,0
Mahmoud Dahoud2024-11-09T17:30:00Z,Mahmoud Dahoud,Brighton,0
Amario Cozier-Duberry2024-11-09T17:30:00Z,Amario Cozier-Duberry,Brighton,0
Gabriel Martinelli Silva2024-11-10T16:30:00Z,Gabriel Martinelli Silva,Arsenal,1
Billy Gilmour2024-11-09T17:30:00Z,Billy Gilmour,Brighton,0
Julio Enciso2024-11-09T17:30:00Z,Julio Enciso,Brighton,0
Emiliano Buendía Stati2024-11-09T20:00:00Z,Emiliano Buendía Stati,Aston Villa,0
Morgan Rogers2024-11-09T20:00:00Z,Morgan Rogers,Aston Villa,1
Samuel Iling-Junior2024-11-09T20:00:00Z,Samuel Iling-Junior,Aston Villa,0
Thomas Partey2024-11-10T16:30:00Z,Thomas Partey,Arsenal,1
Moussa Diaby2024-11-09T20:00:00Z,Moussa Diaby,Aston Villa,0
Kacper Kozłowski2024-11-09T17:30:00Z,Kacper Kozłowski,Brighton,0
Declan Rice2024-11-10T16:30:00Z,Declan Rice,Arsenal,1
Pascal Groß2024-11-09T17:30:00Z,Pascal Groß,Brighton,0
Solly March2024-11-09T17:30:00Z,Solly March,Brighton,0
Myles Lewis-Skelly2024-11-10T16:30:00Z,Myles Lewis-Skelly,Arsenal,0
Enzo Barrenechea2024-11-09T20:00:00Z,Enzo Barrenechea,Aston Villa,0
Carlos Baleba2024-11-09T17:30:00Z,Carlos Baleba,Brighton,1
Leander Dendoncker2024-11-09T20:00:00Z,Leander Dendoncker,Aston Villa,0
John McGinn2024-11-09T20:00:00Z,John McGinn,Aston Villa,1
Boubacar Kamara2024-11-09T20:00:00Z,Boubacar Kamara,Aston Villa,1
Jorge Luiz Frello Filho2024-11-10T16:30:00Z,Jorge Luiz Frello Filho,Arsenal,0
Simon Adingra2024-11-09T17:30:00Z,Simon Adingra,Brighton,1
Lewis Dobbin2024-11-09T20:00:00Z,Lewis Dobbin,Aston Villa,0
Brajan Gruda2024-11-09T17:30:00Z,Brajan Gruda,Brighton,1
Fábio Ferreira Vieira2024-11-10T16:30:00Z,Fábio Ferreira Vieira,Arsenal,0
Bukayo Saka2024-11-10T16:30:00Z,Bukayo Saka,Arsenal,1
Leon Bailey2024-11-09T20:00:00Z,Leon Bailey,Aston Villa,1
Mitoma Kaoru2024-11-09T17:30:00Z,Mitoma Kaoru,Brighton,1
Ross Barkley2024-11-09T20:00:00Z,Ross Barkley,Aston Villa,1
Leandro Trossard2024-11-10T16:30:00Z,Leandro Trossard,Arsenal,1
Cameron Peupion2024-11-09T17:30:00Z,Cameron Peupion,Brighton,0
Ethan Nwaneri2024-11-10T16:30:00Z,Ethan Nwaneri,Arsenal,1
Martin Ødegaard2024-11-10T16:30:00Z,Martin Ødegaard,Arsenal,0
Georginio Rutter2024-11-09T17:30:00Z,Georginio Rutter,Brighton,1
Reiss Nelson2024-11-09T15:00:00Z,Reiss Nelson,Fulham,1
Matt O'Riley2024-11-09T17:30:00Z,Matt O'Riley,Brighton,0
Bilal El Khannouss2024-11-10T14:00:00Z,Bilal El Khannouss,Leicester,1
Jadon Sancho2024-11-10T16:30:00Z,Jadon Sancho,Chelsea,0
Jack Fletcher2024-11-10T14:00:00Z,Jack Fletcher,Man Utd,0
James Ward-Prowse2024-11-10T14:00:00Z,James Ward-Prowse,Nott'm Forest,0
Carlos Roberto Forbs Borges2024-11-09T15:00:00Z,Carlos Roberto Forbs Borges,Wolves,1
Sander Berge2024-11-09T15:00:00Z,Sander Berge,Fulham,1
Carlos Soler2024-11-09T15:00:00Z,Carlos Soler,West Ham,1
André Trindade da Costa Neto2024-11-09T15:00:00Z,André Trindade da Costa Neto,Wolves,1
Tommy Doyle2024-11-09T15:00:00Z,Tommy Doyle,Wolves,1
Tom Cairney2024-11-09T15:00:00Z,Tom Cairney,Fulham,1
Morgan Gibbs-White2024-11-10T14:00:00Z,Morgan Gibbs-White,Nott'm Forest,1
