index,name,team,points,value
Mohamed Salah2024-11-09T20:00:00Z,Mohamed Salah,Liverpool,7.30139916,128
Bruno Borges Fernandes2024-11-10T14:00:00Z,Bruno Borges Fernandes,Man Utd,5.489112677,82
Cole Palmer2024-11-10T16:30:00Z,Cole Palmer,Chelsea,5.377070858,110
Bryan Mbeumo2024-11-09T15:00:00Z,Bryan Mbeumo,Brentford,5.249807078,79
Brennan Johnson2024-11-10T14:00:00Z,Brennan Johnson,Spurs,5.08253665,67
Jarrod Bowen2024-11-09T15:00:00Z,Jarrod Bowen,West Ham,5.0643312,75
Dejan Kulusevski2024-11-10T14:00:00Z,Dejan Kulusevski,Spurs,4.35714305,63
Bukayo Saka2024-11-10T16:30:00Z,Bukayo Saka,Arsenal,4.143679878,101
Alejandro Garnacho2024-11-10T14:00:00Z,Alejandro Garnacho,Man Utd,3.783543856,63
Callum Hudson-Odoi2024-11-10T14:00:00Z,Callum Hudson-Odoi,Nott'm Forest,3.751301714,54
Phil Foden2024-11-09T17:30:00Z,Phil Foden,Man City,3.732939656,93
Son Heung-min2024-11-10T14:00:00Z,Son Heung-min,Spurs,3.663307857,99
Marcus Rashford2024-11-10T14:00:00Z,Marcus Rashford,Man Utd,3.537301681,69
Declan Rice2024-11-10T16:30:00Z,Declan Rice,Arsenal,3.517141662,63
Alex Iwobi2024-11-09T15:00:00Z,Alex Iwobi,Fulham,3.515596845,55
Elliot Anderson2024-11-10T14:00:00Z,Elliot Anderson,Nott'm Forest,3.491618788,50
Bernardo Veiga de Carvalho e Silva2024-11-09T17:30:00Z,Bernardo Veiga de Carvalho e Silva,Man City,3.475684519,65
Vitaly Janelt2024-11-09T15:00:00Z,Vitaly Janelt,Brentford,3.469241006,49
Dwight McNeil2024-11-09T15:00:00Z,Dwight McNeil,Everton,3.40030238,58
James Maddison2024-11-10T14:00:00Z,James Maddison,Spurs,3.380079581,76
Andreas Hoelgebaum Pereira2024-11-09T15:00:00Z,Andreas Hoelgebaum Pereira,Fulham,3.293575224,53
Eberechi Eze2024-11-09T15:00:00Z,Eberechi Eze,Crystal Palace,3.270361838,67
Carlos Henrique Casimiro2024-11-10T14:00:00Z,Carlos Henrique Casimiro,Man Utd,3.257215451,48
Mitoma Kaoru2024-11-09T17:30:00Z,Mitoma Kaoru,Brighton,3.230698378,65
Noni Madueke2024-11-10T16:30:00Z,Noni Madueke,Chelsea,3.224132937,64
Emile Smith Rowe2024-11-09T15:00:00Z,Emile Smith Rowe,Fulham,3.210820929,57
Ryan Yates2024-11-10T14:00:00Z,Ryan Yates,Nott'm Forest,3.1925495,49
Youri Tielemans2024-11-09T20:00:00Z,Youri Tielemans,Aston Villa,3.168919623,55
João Victor Gomes da Silva2024-11-09T15:00:00Z,João Victor Gomes da Silva,Wolves,3.101119318,49
Mikkel Damsgaard2024-11-09T15:00:00Z,Mikkel Damsgaard,Brentford,3.073883836,50
Georginio Rutter2024-11-09T17:30:00Z,Georginio Rutter,Brighton,3.073475015,56
Morgan Rogers2024-11-09T20:00:00Z,Morgan Rogers,Aston Villa,3.019409588,54
Facundo Buonanotte2024-11-10T14:00:00Z,Facundo Buonanotte,Leicester,2.979686994,51
Bruno Guimarães Rodriguez Moura2024-11-10T14:00:00Z,Bruno Guimarães Rodriguez Moura,Newcastle,2.978303024,62
Antoine Semenyo2024-11-09T15:00:00Z,Antoine Semenyo,Bournemouth,2.908708328,56
Adama Traoré2024-11-09T15:00:00Z,Adama Traoré,Fulham,2.906585268,51
Yasin Ayari2024-11-09T17:30:00Z,Yasin Ayari,Brighton,2.889849421,50
Ismaïla Sarr2024-11-09T15:00:00Z,Ismaïla Sarr,Crystal Palace,2.865245947,57
Moisés Caicedo Corozo2024-11-10T16:30:00Z,Moisés Caicedo Corozo,Chelsea,2.8578026,49
Luis Díaz2024-11-09T20:00:00Z,Luis Díaz,Liverpool,2.845597225,77
Christian Nørgaard2024-11-09T15:00:00Z,Christian Nørgaard,Brentford,2.815879551,48
Anthony Gordon2024-11-10T14:00:00Z,Anthony Gordon,Newcastle,2.757905181,72
Reiss Nelson2024-11-09T15:00:00Z,Reiss Nelson,Fulham,2.75360788,50
Ilkay Gündogan2024-11-09T17:30:00Z,Ilkay Gündogan,Man City,2.731441728,65
Mateo Kovačić2024-11-09T17:30:00Z,Mateo Kovačić,Man City,2.695840215,56
Anthony Elanga2024-11-10T14:00:00Z,Anthony Elanga,Nott'm Forest,2.691539545,52
Keane Lewis-Potter2024-11-09T15:00:00Z,Keane Lewis-Potter,Brentford,2.675495392,50
Lewis Cook2024-11-09T15:00:00Z,Lewis Cook,Bournemouth,2.661511098,50
Lucas Tolentino Coelho de Lima2024-11-09T15:00:00Z,Lucas Tolentino Coelho de Lima,West Ham,2.656429296,59
Nicolás Domínguez2024-11-10T14:00:00Z,Nicolás Domínguez,Nott'm Forest,2.656015502,48
Pedro Lomba Neto2024-11-10T16:30:00Z,Pedro Lomba Neto,Chelsea,2.646047697,62
Morgan Gibbs-White2024-11-10T14:00:00Z,Morgan Gibbs-White,Nott'm Forest,2.644085339,63
Joelinton Cássio Apolinário de Lira2024-11-10T14:00:00Z,Joelinton Cássio Apolinário de Lira,Newcastle,2.637730091,60
Justin Kluivert2024-11-09T15:00:00Z,Justin Kluivert,Bournemouth,2.612513074,53
Mario Lemina2024-11-09T15:00:00Z,Mario Lemina,Wolves,2.566313066,50
Jérémy Doku2024-11-09T17:30:00Z,Jérémy Doku,Man City,2.536114979,63
Dominik Szoboszlai2024-11-09T20:00:00Z,Dominik Szoboszlai,Liverpool,2.517629103,63
Matheus Luiz Nunes2024-11-09T17:30:00Z,Matheus Luiz Nunes,Man City,2.475494057,49
Jacob Ramsey2024-11-09T20:00:00Z,Jacob Ramsey,Aston Villa,2.465415954,54
Gabriel Martinelli Silva2024-11-10T16:30:00Z,Gabriel Martinelli Silva,Arsenal,2.44649542,69
Ryan Gravenberch2024-11-09T20:00:00Z,Ryan Gravenberch,Liverpool,2.403382534,50
Harry Wilson2024-11-09T15:00:00Z,Harry Wilson,Fulham,2.372234098,52
Curtis Jones2024-11-09T20:00:00Z,Curtis Jones,Liverpool,2.369339817,53
Tomáš Souček2024-11-09T15:00:00Z,Tomáš Souček,West Ham,2.332627879,50
Crysencio Summerville2024-11-09T15:00:00Z,Crysencio Summerville,West Ham,2.327811632,57
Stephy Mavididi2024-11-10T14:00:00Z,Stephy Mavididi,Leicester,2.319580117,53
Sávio 'Savinho' Moreira de Oliveira2024-11-09T17:30:00Z,Sávio 'Savinho' Moreira de Oliveira,Man City,2.318418339,65
Daichi Kamada2024-11-09T15:00:00Z,Daichi Kamada,Crystal Palace,2.309696013,51
Pape Matar Sarr2024-11-10T14:00:00Z,Pape Matar Sarr,Spurs,2.302045316,48
Abdul Fatawu2024-11-10T14:00:00Z,Abdul Fatawu,Leicester,2.29209044,54
Marcus Tavernier2024-11-09T15:00:00Z,Marcus Tavernier,Bournemouth,2.27557291,55
Will Hughes2024-11-09T15:00:00Z,Will Hughes,Crystal Palace,2.226837841,49
Tommy Doyle2024-11-09T15:00:00Z,Tommy Doyle,Wolves,2.179912555,48
Ryan Christie2024-11-09T15:00:00Z,Ryan Christie,Bournemouth,2.174411748,49
Idrissa Gueye2024-11-09T15:00:00Z,Idrissa Gueye,Everton,2.155397391,49
Yves Bissouma2024-11-10T14:00:00Z,Yves Bissouma,Spurs,2.137701142,49
Roméo Lavia2024-11-10T16:30:00Z,Roméo Lavia,Chelsea,2.089831249,45
Sam Szmodics2024-11-10T14:00:00Z,Sam Szmodics,Ipswich,2.084537396,58
Flynn Downes2024-11-09T15:00:00Z,Flynn Downes,Southampton,2.083412534,48
Mikel Merino2024-11-10T16:30:00Z,Mikel Merino,Arsenal,2.075117469,60
Harry Winks2024-11-10T14:00:00Z,Harry Winks,Leicester,2.072642466,45
Leandro Trossard2024-11-10T16:30:00Z,Leandro Trossard,Arsenal,2.06738952,69
Jordan Ayew2024-11-10T14:00:00Z,Jordan Ayew,Leicester,2.058766845,52
Joe Aribo2024-11-09T15:00:00Z,Joe Aribo,Southampton,1.974473705,49
Mateus Gonçalo Espanha Fernandes2024-11-09T15:00:00Z,Mateus Gonçalo Espanha Fernandes,Southampton,1.959846675,50
Alexis Mac Allister2024-11-09T20:00:00Z,Alexis Mac Allister,Liverpool,1.957153696,62
Thomas Partey2024-11-10T16:30:00Z,Thomas Partey,Arsenal,1.93705194,50
Guido Rodríguez2024-11-09T15:00:00Z,Guido Rodríguez,West Ham,1.936225147,49
Christian Eriksen2024-11-10T14:00:00Z,Christian Eriksen,Man Utd,1.924224597,54
Wilfred Ndidi2024-11-10T14:00:00Z,Wilfred Ndidi,Leicester,1.890381177,50
Harvey Barnes2024-11-10T14:00:00Z,Harvey Barnes,Newcastle,1.85290272,64
Omari Giraud-Hutchinson2024-11-10T14:00:00Z,Omari Giraud-Hutchinson,Ipswich,1.850729006,52
Jack Hinshelwood2024-11-09T17:30:00Z,Jack Hinshelwood,Brighton,1.849344872,50
Jack Harrison2024-11-09T15:00:00Z,Jack Harrison,Everton,1.835424091,53
Sander Berge2024-11-09T15:00:00Z,Sander Berge,Fulham,1.797916791,50
Abdoulaye Doucouré2024-11-09T15:00:00Z,Abdoulaye Doucouré,Everton,1.780808327,52
Carlos Roberto Forbs Borges2024-11-09T15:00:00Z,Carlos Roberto Forbs Borges,Wolves,1.776934279,55
Leon Bailey2024-11-09T20:00:00Z,Leon Bailey,Aston Villa,1.770670797,63
Amadou Onana2024-11-09T20:00:00Z,Amadou Onana,Aston Villa,1.766023108,50
Conor Chaplin2024-11-10T14:00:00Z,Conor Chaplin,Ipswich,1.738769875,52
Jesper Lindstrøm2024-11-09T15:00:00Z,Jesper Lindstrøm,Everton,1.715449886,51
Carlos Baleba2024-11-09T17:30:00Z,Carlos Baleba,Brighton,1.712753672,50
Sam Morsy2024-11-10T14:00:00Z,Sam Morsy,Ipswich,1.705584223,49
Dango Ouattara2024-11-09T15:00:00Z,Dango Ouattara,Bournemouth,1.702810105,50
Amad Diallo2024-11-10T14:00:00Z,Amad Diallo,Man Utd,1.640922474,49
Jack Grealish2024-11-09T17:30:00Z,Jack Grealish,Man City,1.628178876,64
Jack Clarke2024-11-10T14:00:00Z,Jack Clarke,Ipswich,1.619456453,55
John McGinn2024-11-09T20:00:00Z,John McGinn,Aston Villa,1.607411142,52
Sean Longstaff2024-11-10T14:00:00Z,Sean Longstaff,Newcastle,1.595502358,47
João Pedro Ferreira Silva2024-11-10T14:00:00Z,João Pedro Ferreira Silva,Nott'm Forest,1.591453708,59
Pablo Sarabia2024-11-09T15:00:00Z,Pablo Sarabia,Wolves,1.589336362,51
André Trindade da Costa Neto2024-11-09T15:00:00Z,André Trindade da Costa Neto,Wolves,1.575264707,50
Joe Willock2024-11-10T14:00:00Z,Joe Willock,Newcastle,1.552084629,48
Kevin Schade2024-11-09T15:00:00Z,Kevin Schade,Brentford,1.547377805,52
Enzo Fernández2024-11-10T16:30:00Z,Enzo Fernández,Chelsea,1.51472404,48
Tyler Dibling2024-11-09T15:00:00Z,Tyler Dibling,Southampton,1.495749267,46
Jean-Ricner Bellegarde2024-11-09T15:00:00Z,Jean-Ricner Bellegarde,Wolves,1.454923685,50
Mohammed Kudus2024-11-09T15:00:00Z,Mohammed Kudus,West Ham,1.431247123,62
Fábio Freitas Gouveia Carvalho2024-11-09T15:00:00Z,Fábio Freitas Gouveia Carvalho,Brentford,1.41817017,48
Adam Wharton2024-11-09T15:00:00Z,Adam Wharton,Crystal Palace,1.399692217,48
Ross Barkley2024-11-09T20:00:00Z,Ross Barkley,Aston Villa,1.388282991,52
Diogo Teixeira da Silva2024-11-09T20:00:00Z,Diogo Teixeira da Silva,Liverpool,1.377637984,73
Sandro Tonali2024-11-10T14:00:00Z,Sandro Tonali,Newcastle,1.361675878,55
Jacob Murphy2024-11-10T14:00:00Z,Jacob Murphy,Newcastle,1.353713205,51
Jefferson Lerma Solís2024-11-09T15:00:00Z,Jefferson Lerma Solís,Crystal Palace,1.344271114,48
Ramón Sosa2024-11-10T14:00:00Z,Ramón Sosa,Nott'm Forest,1.340470998,55
Timo Werner2024-11-10T14:00:00Z,Timo Werner,Spurs,1.337985966,62
Jadon Sancho2024-11-10T16:30:00Z,Jadon Sancho,Chelsea,1.331352106,63
Rodrigo Bentancur2024-11-10T14:00:00Z,Rodrigo Bentancur,Spurs,1.321565643,50
Mathias Jensen2024-11-09T15:00:00Z,Mathias Jensen,Brentford,1.276009584,53
Carlos Soler2024-11-09T15:00:00Z,Carlos Soler,West Ham,1.26544028,50
Gonçalo Manuel Ganchinho Guedes2024-11-09T15:00:00Z,Gonçalo Manuel Ganchinho Guedes,Wolves,1.241198552,53
Raheem Sterling2024-11-10T16:30:00Z,Raheem Sterling,Arsenal,1.229165279,67
Mats Wieffer2024-11-09T17:30:00Z,Mats Wieffer,Brighton,1.224507945,48
Christopher Nkunku2024-11-10T16:30:00Z,Christopher Nkunku,Chelsea,1.210325133,59
Orel Mangala2024-11-09T15:00:00Z,Orel Mangala,Everton,1.18712727,50
Luis Sinisterra2024-11-09T15:00:00Z,Luis Sinisterra,Bournemouth,1.183851355,50
Mykhailo Mudryk2024-11-10T16:30:00Z,Mykhailo Mudryk,Chelsea,1.161042207,62
Wes Burns2024-11-10T14:00:00Z,Wes Burns,Ipswich,1.144809058,49
Edson Álvarez Velázquez2024-11-09T15:00:00Z,Edson Álvarez Velázquez,West Ham,1.126881306,50
Miguel Almirón Rejala2024-11-10T14:00:00Z,Miguel Almirón Rejala,Newcastle,1.115603694,56
Alex Scott2024-11-09T15:00:00Z,Alex Scott,Bournemouth,1.107880332,48
Adam Lallana2024-11-09T15:00:00Z,Adam Lallana,Southampton,1.0583089,50
Tom Cairney2024-11-09T15:00:00Z,Tom Cairney,Fulham,1.051187966,48
Bilal El Khannouss2024-11-10T14:00:00Z,Bilal El Khannouss,Leicester,1.007647634,49
João Félix Sequeira2024-11-10T16:30:00Z,João Félix Sequeira,Chelsea,0.970945188,61
Chiedozie Ogbene2024-11-10T14:00:00Z,Chiedozie Ogbene,Ipswich,0.959275724,49
Simon Adingra2024-11-09T17:30:00Z,Simon Adingra,Brighton,0.937884084,53
Brajan Gruda2024-11-09T17:30:00Z,Brajan Gruda,Brighton,0.902113463,54
Jeffrey Schlupp2024-11-09T15:00:00Z,Jeffrey Schlupp,Crystal Palace,0.837200972,47
Kamaldeen Sulemana2024-11-09T15:00:00Z,Kamaldeen Sulemana,Southampton,0.770548289,50
Oliver Skipp2024-11-10T14:00:00Z,Oliver Skipp,Leicester,0.768256366,49
Boubacar Kamara2024-11-09T20:00:00Z,Boubacar Kamara,Aston Villa,0.761643794,50
Julio Enciso2024-11-09T17:30:00Z,Julio Enciso,Brighton,0.760883049,54
Bobby De Cordova-Reid2024-11-10T14:00:00Z,Bobby De Cordova-Reid,Leicester,0.756195793,52
Kevin De Bruyne2024-11-09T17:30:00Z,Kevin De Bruyne,Man City,0.748892719,94
Will Smallbone2024-11-09T15:00:00Z,Will Smallbone,Southampton,0.74044957,50
Harrison Reed2024-11-09T15:00:00Z,Harrison Reed,Fulham,0.730323475,48
Kalvin Phillips2024-11-10T14:00:00Z,Kalvin Phillips,Ipswich,0.719768334,49
Jens Cajuste2024-11-10T14:00:00Z,Jens Cajuste,Ipswich,0.718122502,45
Tyler Adams2024-11-09T15:00:00Z,Tyler Adams,Bournemouth,0.714563707,49
James Ward-Prowse2024-11-10T14:00:00Z,James Ward-Prowse,Nott'm Forest,0.707635267,62
David Brooks2024-11-09T15:00:00Z,David Brooks,Bournemouth,0.700725344,49
Ethan Nwaneri2024-11-10T16:30:00Z,Ethan Nwaneri,Arsenal,0.699883293,45
Renato Palma Veiga2024-11-10T16:30:00Z,Renato Palma Veiga,Chelsea,0.662220066,45
Endo Wataru2024-11-09T20:00:00Z,Endo Wataru,Liverpool,0.655032571,47
Yehor Yarmoliuk2024-11-09T15:00:00Z,Yehor Yarmoliuk,Brentford,0.646720695,44
Archie Gray2024-11-10T14:00:00Z,Archie Gray,Spurs,0.6432277,47
Mikey Moore2024-11-10T14:00:00Z,Mikey Moore,Spurs,0.634051633,45
Andy Irving2024-11-09T15:00:00Z,Andy Irving,West Ham,0.632087127,48
Kasey McAteer2024-11-10T14:00:00Z,Kasey McAteer,Leicester,0.601550376,48
Jaden Philogene2024-11-09T20:00:00Z,Jaden Philogene,Aston Villa,0.598367986,53
Jack Taylor2024-11-10T14:00:00Z,Jack Taylor,Ipswich,0.575256782,48
Manuel Ugarte2024-11-10T14:00:00Z,Manuel Ugarte,Man Utd,0.57463736,49
Yankuba Minteh2024-11-09T17:30:00Z,Yankuba Minteh,Brighton,0.561720612,53
Boubakary Soumaré2024-11-10T14:00:00Z,Boubakary Soumaré,Leicester,0.559381365,44
Cheick Doucouré2024-11-09T15:00:00Z,Cheick Doucouré,Crystal Palace,0.552495639,49
Emiliano Buendía Stati2024-11-09T20:00:00Z,Emiliano Buendía Stati,Aston Villa,0.520667334,53
Martin Ødegaard2024-11-10T16:30:00Z,Martin Ødegaard,Arsenal,0.490593681,82
Rodrigo Martins Gomes2024-11-09T15:00:00Z,Rodrigo Martins Gomes,Wolves,0.481747535,52
Hwang Hee-chan2024-11-09T15:00:00Z,Hwang Hee-chan,Wolves,0.478347639,61
Lesley Ugochukwu2024-11-09T15:00:00Z,Lesley Ugochukwu,Southampton,0.463204402,45
Jorge Luiz Frello Filho2024-11-10T16:30:00Z,Jorge Luiz Frello Filho,Arsenal,0.443632948,48
Wilson Odobert2024-11-10T14:00:00Z,Wilson Odobert,Spurs,0.441583685,53
Jakub Moder2024-11-09T17:30:00Z,Jakub Moder,Brighton,0.421251209,44
Kobbie Mainoo2024-11-10T14:00:00Z,Kobbie Mainoo,Man Utd,0.420460685,52
Saša Lukić2024-11-09T15:00:00Z,Saša Lukić,Fulham,0.408747884,49
Myles Lewis-Skelly2024-11-10T16:30:00Z,Myles Lewis-Skelly,Arsenal,0.395410897,45
Asher Agbinone2024-11-09T15:00:00Z,Asher Agbinone,Crystal Palace,0.382404275,45
James Garner2024-11-09T15:00:00Z,James Garner,Everton,0.375220562,50
Ben Brereton Díaz2024-11-09T15:00:00Z,Ben Brereton Díaz,Southampton,0.343955536,51
James Milner2024-11-09T17:30:00Z,James Milner,Brighton,0.326968458,50
Rodrigo 'Rodri' Hernandez2024-11-09T17:30:00Z,Rodrigo 'Rodri' Hernandez,Man City,0.30668524,63
Mason Mount2024-11-10T14:00:00Z,Mason Mount,Man Utd,0.296685053,63
Ibrahim Sangaré2024-11-10T14:00:00Z,Ibrahim Sangaré,Nott'm Forest,0.291294191,44
Jayce Fitzgerald2024-11-10T14:00:00Z,Jayce Fitzgerald,Man Utd,0.27689899,45
Federico Chiesa2024-11-09T20:00:00Z,Federico Chiesa,Liverpool,0.260451192,68
Lucas Bergvall2024-11-10T14:00:00Z,Lucas Bergvall,Spurs,0.243133782,45
Paris Maghoma2024-11-09T15:00:00Z,Paris Maghoma,Brentford,0.233980451,45
